date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2021-01-04,portimonense,farense,2,0,H,2.15,3.25,3.4,4.0,3.0,6.0,1.0,7.0,6.0,5.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0,below avg,average,weak,average,weak x average,balanced,home
2021-01-07,sp braga,maritimo,2,1,H,1.33,5.25,8.5,9.0,9.0,5.0,3.0,7.0,6.0,5.0,2.0,12.0,7.0,6.0,9.0,16.0,9.0,9.0,34,average,average,above avg,average,above avg x average,home_dominant,home
2021-01-08,famalicao,porto,1,4,A,8.0,5.25,1.33,2.0,2.0,6.0,0.0,15.0,13.0,5.0,5.0,6.0,7.0,10.0,13.0,1.0,0.0,1.0,2,poor,excellent,weak,strong,weak x strong,balanced,away
2021-01-08,benfica,tondela,2,0,H,1.11,9.0,19.0,13.0,9.0,4.0,4.0,4.0,4.0,8.0,1.0,12.0,11.0,1.0,5.0,8.0,1.0,1.0,10,excellent,below avg,above avg,average,above avg x average,home_dominant,home
2021-01-08,rio ave,portimonense,3,0,H,2.1,3.0,4.0,1.0,1.0,10.0,0.0,7.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,1.0,2.0,8,poor,average,weak,average,weak x average,balanced,home
2021-01-08,nacional,sporting,0,2,A,7.5,4.5,1.4,6.0,5.0,7.0,2.0,13.0,9.0,4.0,4.0,8.0,6.0,13.0,12.0,4.0,8.0,17.0,29,below avg,excellent,average,above avg,average x above avg,away_dominant,away
2021-01-09,moreirense,guimaraes,2,2,D,3.6,3.2,2.15,5.0,2.0,5.0,1.0,9.0,9.0,7.0,3.0,8.0,5.0,13.0,9.0,2.0,5.0,11.0,18,below avg,average,weak,above avg,weak x above avg,away_dominant,away
2021-01-09,boavista,santa clara,1,1,D,2.37,3.0,3.2,4.0,2.0,5.0,0.0,4.0,4.0,8.0,1.0,4.0,4.0,6.0,6.0,3.0,0.0,1.0,4,below avg,below avg,weak,average,weak x average,balanced,home
2021-01-10,belenenses,pacos ferreira,0,2,A,3.1,3.0,2.4,5.0,3.0,4.0,1.0,8.0,6.0,4.0,2.0,6.0,4.0,5.0,4.0,6.0,9.0,9.0,24,below avg,average,weak,average,weak x average,balanced,away
2021-01-10,farense,gil vicente,3,1,H,2.5,2.9,3.0,4.0,3.0,6.0,1.0,8.0,4.0,3.0,2.0,8.0,9.0,4.0,4.0,0.0,0.0,0.0,0,below avg,average,weak,average,weak x average,balanced,balanced
